county,rate
New York County,0.08875
Kings County,0.08875
Queens County,0.08875
Bronx County,0.08875
Richmond County,0.08875
Nassau County,0.08625
Suffolk County,0.0875
Westchester County,0.08375
Rockland County,0.08375
Putnam County,0.08375
Dutchess County,0.08125
Orange County,0.08125
Ontario County,0.075
Saratoga County,0.07
Warren County,0.07
Washington County,0.07
Erie County,0.0875
Oneida County,0.0875
Allegany County,0.085
Albany County,0.08
Broome County,0.08
Cattaraugus County,0.08
Cayuga County,0.08
Chautauqua County,0.08
Chemung County,0.08
Chenango County,0.08
Clinton County,0.08
Columbia County,0.08
Cortland County,0.08
Delaware County,0.08
Essex County,0.08
Franklin County,0.08
Fulton County,0.08
Genesee County,0.08
Greene County,0.08
Hamilton County,0.08
Herkimer County,0.0825
Jefferson County,0.08
Lewis County,0.08
Livingston County,0.08
Madison County,0.08
Monroe County,0.08
Montgomery County,0.08
Niagara County,0.08
Onondaga County,0.08
Orleans County,0.08
Oswego County,0.08
Otsego County,0.08
Rensselaer County,0.08
St. Lawrence County,0.08
Schenectady County,0.08
Schoharie County,0.08
Schuyler County,0.08
Seneca County,0.08
Steuben County,0.08
Sullivan County,0.08
Tioga County,0.08
Tompkins County,0.08
Ulster County,0.08
Wayne County,0.08
Wyoming County,0.08
Yates County,0.08